X,Y,OBJECTID,ESTABLISH,LOCATION,LICENSE_TY,ESTABLISHMENTID
3117755.740881055593491,1426986.310044333338737,109,287 Craft Spirits,5846 South College Avenue,Retail Liquor Store,3167
3117615.45080092549324,1453955.989381447434425,110,DP Dough,634 South College Avenue,Beer and Wine,3169
3117818.620017111301422,1443159.409915402531624,111,Star of India,"2900 Harvard Road, Suite B",Hotel-Restaurant,3170
3122238.25061322748661,1443973.430604159832001,112,Moondance Wines & Spirits,"2601 South Lemay Avenue, #46",Retail Liquor Store,3171
3122716.500309675931931,1452239.688995853066444,113,Thirsty's Liquor,1001 South Lemay,Retail Liquor Store,3172
3117314.2804806381464,1456055.91955940425396,114,Chocolate Café (The),102 West Olive,Hotel-Restaurant,3173
3117615.549888923764229,1451414.08928307890892,115,CAFE VINO,1200 South College Avenue,Hotel-Restaurant,3175
3115943.270095363259315,1449818.559665590524673,116,Panino's Restaurant,310 West Prospect Road,Hotel-Restaurant,3178
3132634.519182905554771,1433274.110786184668541,117,Cambria Suites,2921 East Harmony Road,Hotel-Restaurant,3180
3107015.10127104818821,1452486.001828074455261,118,Sri Thai Restaurant,950 South Taft Hill Road,Hotel-Restaurant,3181
3132669.219246938824654,1435386.420548155903816,119,Target Store T-2403,2936 Council Tree Avenue,Fermented Malt Beverage (off-premises),3182
3132204.60011051595211,1434737.280435547232628,120,Café Athens,"2842 Council Tree Avenue, #149",Hotel-Restaurant,3191
3130427.249980852007866,1433985.470594853162766,121,Smashburger,"2550 East Harmony Road, #100",Beer and Wine,3195
3129729.639500200748444,1433990.650690853595734,122,MASA HIBACHI,"2400 East Harmony Road, Suite 102",Hotel-Restaurant,3198
3117344.410656675696373,1456832.179160133004189,123,Sonny Lubick Steakhouse,115 South College Avenue,Hotel-Restaurant,3200
3116057.000511467456818,1455380.510150775313377,124,Lucile's,400 South Meldrum,Hotel-Restaurant,3201
3117932.950161218643188,1458093.480121299624443,125,Rodizio Grill,200 Jefferson Street,Hotel-Restaurant,3202
3117659.359840959310532,1450103.28940986096859,126,"Wild Boar, The",1510 South College Avenue,Hotel-Restaurant,3203
3127277.769737914204597,1433435.870642334222794,127,Romano's Macaroni Grill,4627 South Timberline Road,Hotel-Restaurant,3204
3116857.400816217064857,1449812.139393597841263,128,SUH SUSHI,200 West Prospect,Beer and Wine,3205
3111008.210730776190758,1452681.359700262546539,129,Mo Jeaux's Bar and Grill,820 City Park Avenue,Tavern,3208
3108702.960760623216629,1455881.689271241426468,130,City Park Nine Golf,411 South Bryan Avenue,Optional Premise,3210
3117029.990688383579254,1456549.149863868951797,131,Tasty Harmony,160 West Oak Street,Hotel-Restaurant,3211
3140495.669814229011536,1454655.729766100645065,132,Donoho's Beer and Spirits,"4562 Denrose Court, #6",Retail Liquor Store,3213
3117119.719840466976166,1444834.040748953819275,133,Loaf 'N Jug #19,150 West Drake,Fermented Malt Beverage (off-premises),3214
